"","year","mpaa","A_power","HolidaySeason","producer_power","director_power","distributor_power","genre_power","domestic_cut","budget_cut","numVotes_cut","averageRating_round"
"2503","2014","4","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","6"
"2504","2015","5","0","FALSE","FALSE","FALSE","TRUE","TRUE","high","medium","high","4"
"2505","2017","5","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","low","4"
"2506","2013","4","0","TRUE","FALSE","FALSE","TRUE","TRUE","medium","high","high","6"
"2507","2017","4","1","TRUE","FALSE","FALSE","TRUE","TRUE","medium","high","medium","5"
"2508","2013","4","1","FALSE","FALSE","FALSE","FALSE","FALSE","low","low","medium","6"
"2509","2014","1","0","FALSE","FALSE","FALSE","TRUE","TRUE","high","high","medium","6"
"2510","2015","5","0","FALSE","FALSE","FALSE","TRUE","TRUE","low","medium","low","5"
"2511","2015","4","1","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","high","7"
"2512","2013","5","2","FALSE","FALSE","FALSE","TRUE","FALSE","medium","medium","medium","6"
"2513","2016","5","0","FALSE","FALSE","FALSE","FALSE","TRUE","low","low","low","4"
"2514","2014","4","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","6"
"2515","2014","5","0","TRUE","FALSE","FALSE","FALSE","FALSE","medium","medium","medium","6"
"2516","2015","4","2","FALSE","FALSE","FALSE","TRUE","TRUE","high","high","high","7"
"2517","2015","4","3","TRUE","FALSE","FALSE","FALSE","TRUE","high","high","high","7"
"2518","2015","5","1","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","high","7"
"2519","2016","4","1","TRUE","FALSE","FALSE","TRUE","TRUE","medium","high","medium","6"
"2520","2019","3","0","FALSE","FALSE","FALSE","TRUE","TRUE","high","high","medium","8"
"2521","2013","4","0","FALSE","FALSE","FALSE","FALSE","FALSE","low","low","medium","6"
"2522","2016","4","0","FALSE","FALSE","FALSE","TRUE","TRUE","low","medium","medium","6"
"2523","2013","4","1","TRUE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","6"
"2524","2013","5","1","TRUE","FALSE","FALSE","FALSE","FALSE","medium","low","medium","6"
"2525","2015","4","3","TRUE","FALSE","FALSE","TRUE","TRUE","high","high","high","7"
"2526","2017","3","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","low","6"
"2527","2015","5","0","TRUE","FALSE","FALSE","FALSE","FALSE","low","low","medium","7"
"2528","2013","5","0","FALSE","FALSE","FALSE","FALSE","TRUE","low","low","medium","5"
