"","title","domestic","budget","averageRating","numVotes","year","mpaa","A_power","HolidaySeason","producer_power","director_power","distributor_power","genre_power","domestic_cut","budget_cut","numVotes_cut","averageRating_round"
"421","The Rugrats Movie",100494675,2.4e+07,5.9,18909,1998,NA,0,TRUE,FALSE,FALSE,FALSE,TRUE,"high","medium","low",6
"422","Scream 3",89143175,4e+07,5.6,130625,2000,"R",0,FALSE,FALSE,FALSE,FALSE,FALSE,"high","medium","medium",6
"423","The Talented Mr. Ripley",81298265,4e+07,7.4,197704,1999,"R",2,TRUE,FALSE,FALSE,FALSE,FALSE,"medium","medium","medium",7
"424","8MM",36663315,4e+07,6.5,129216,1999,"R",1,FALSE,FALSE,FALSE,TRUE,FALSE,"medium","medium","medium",6
"425","Mystery, Alaska",8891623,2.8e+07,6.7,26532,1999,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",7
"426","Duets",4739023,2.1e+07,6.1,9458,2000,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"427","Pitch Black",39240659,2.3e+07,7.1,232405,2000,"R",1,FALSE,FALSE,FALSE,FALSE,FALSE,"medium","medium","high",7
"428","Supernova",14230455,9e+07,4.9,17652,2000,"PG-13",0,FALSE,FALSE,FALSE,FALSE,FALSE,"low","high","low",5
"429","Hideous Kinky",1263279,1.2e+07,6,6592,1998,"R",0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","low","low",6
"430","200 Cigarettes",6852450,6e+06,6,15143,1999,"R",1,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","low",6
"431","Arlington Road",24756177,3.1e+07,7.2,84497,1999,"R",0,TRUE,FALSE,FALSE,TRUE,FALSE,"medium","medium","medium",7
"432","Entrapment",87704396,6.6e+07,6.3,112180,1999,"PG-13",0,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","medium",6
"433","Fight Club",37030102,6.3e+07,8.8,1957543,1999,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","high",9
"434","Shakespeare in Love",100317794,2.5e+07,7.1,219725,1998,"R",2,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",7
"435","The Astronaut's Wife",10672566,7.5e+07,5.4,54486,1999,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"low","high","medium",5
"436","Idle Hands",4152230,2.5e+07,6.2,42108,1999,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","medium",6
"437","The Road to El Dorado",50863742,9.5e+07,6.9,90734,2000,"PG",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","high","medium",7
"438","Cruel Intentions",38773785,10500000,6.8,186232,1999,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","medium",7
"439","Go",16943454,2e+07,7.2,70169,1999,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","medium",7
"440","Lake Placid",31770414,3.5e+07,5.7,58835,1999,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"441","Message in a Bottle",52880016,8e+07,6.2,37337,1999,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","high","medium",6
"442","True Crime",16649768,5.5e+07,6.6,35003,1999,"R",0,FALSE,FALSE,FALSE,TRUE,FALSE,"low","medium","low",7
"443","Varsity Blues",52894169,1.6e+07,6.5,44298,1999,"R",1,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","low","medium",6
"444","The Thirteenth Floor",11916661,1.6e+07,7.1,69846,1999,"R",0,FALSE,FALSE,FALSE,TRUE,FALSE,"low","low","medium",7
"445","The Insider",29089912,9e+07,7.8,166619,1999,"R",0,TRUE,FALSE,FALSE,TRUE,FALSE,"medium","high","medium",8
"446","A Midsummer Night's Dream",16071990,1.1e+07,6.4,25134,1999,"PG-13",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","low",6
"447","Forces of Nature",52900680,7.5e+07,5.5,33472,1999,"PG-13",2,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","high","low",6
"448","Jack Frost",34562556,8.5e+07,5.4,34474,1998,"PG",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","high","low",5
"449","Inspector Gadget",97403112,9e+07,4.2,47155,1999,"PG",0,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","medium",4
"450","Isn't She Great",2962465,4.4e+07,5.4,2428,2000,"R",0,FALSE,FALSE,FALSE,TRUE,FALSE,"low","medium","low",5
"451","Town & Country",6719973,9e+07,4.5,4917,2001,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","high","low",4
"452","U-571",77122415,6.2e+07,6.6,80603,2000,"PG-13",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",7
"453","The Corruptor",15164492,2.5e+07,6.1,18071,1999,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"454","Big Daddy",163479795,34200000,6.4,208252,1999,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",6
"455","The Ninth Gate",18661336,3.8e+07,6.7,174845,1999,"R",1,FALSE,FALSE,FALSE,FALSE,FALSE,"medium","medium","medium",7
"456","The World Is Not Enough",126943684,1.35e+08,6.4,195382,1999,"PG-13",0,TRUE,FALSE,FALSE,FALSE,TRUE,"high","high","medium",6
"457","American Psycho",15070285,7e+06,7.6,532133,2000,"R",1,TRUE,FALSE,FALSE,TRUE,TRUE,"low","low","high",8
"458","Bride of Chucky",32400658,2.5e+07,5.5,55985,1998,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"459","The General's Daughter",102705852,9.5e+07,6.4,56910,1999,"R",1,TRUE,FALSE,FALSE,FALSE,FALSE,"high","high","medium",6
"460","Nutty Professor II: The Klumps",123309890,8.4e+07,4.4,50072,2000,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","medium",4
"461","Three to Tango",10570375,2e+07,6.1,18913,1999,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"462","The Rage: Carrie 2",17762705,2.1e+07,4.7,16265,1999,"R",0,FALSE,FALSE,FALSE,FALSE,FALSE,"medium","medium","low",5
"463","Highlander: Endgame",12811858,2.5e+07,4.6,20053,2000,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",5
"464","Spider-Man",407022860,1.39e+08,7.3,731099,2002,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"high","high","high",7
"465","Stigmata",50046268,2.9e+07,6.2,66910,1999,"R",0,FALSE,FALSE,FALSE,FALSE,FALSE,"medium","medium","medium",6
"466","Angela's Ashes",13042112,5e+07,7.3,21427,1999,"R",0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",7
"467","Austin Powers: The Spy Who Shagged Me",206040086,3.3e+07,6.6,225039,1999,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",7
"468","The Bone Collector",66518655,7.3e+07,6.7,162526,1999,"R",1,TRUE,FALSE,FALSE,TRUE,FALSE,"medium","high","medium",7
"469","Playing by Heart",3970078,2e+07,7,19262,1998,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",7
"470","Simply Irresistible",4398989,6e+06,5.3,13798,1999,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","low",5
"471","Thirteen Days",34592089,8e+07,7.3,57203,2000,"PG-13",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","high","medium",7
"472","Lara Croft: Tomb Raider",131168070,1.15e+08,5.8,204704,2001,"PG-13",0,TRUE,FALSE,FALSE,FALSE,TRUE,"high","high","high",6
"473","Urban Legend",38072438,1.4e+07,5.6,64146,1998,"R",0,FALSE,FALSE,FALSE,TRUE,FALSE,"medium","low","medium",6
"474","End of Days",66889043,1e+08,5.8,108297,1999,"R",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","high","medium",6
"475","Any Given Sunday",75530832,5.5e+07,6.9,115943,1999,"R",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",7
"476","High Fidelity",27287137,3e+07,7.5,174549,2000,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",8
"477","The Legend of Bagger Vance",30919168,8e+07,6.7,55581,2000,"PG-13",2,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","high","medium",7
"478","10 Things I Hate About You",38178166,3e+07,7.3,316703,1999,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","high",7
"479","Deep Blue Sea",73648142,6e+07,5.9,130101,1999,"R",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"480","Where the Money Is",5661798,2.8e+07,6.3,5996,2000,"PG-13",0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",6
"481","All the Pretty Horses",15540353,5.7e+07,5.8,14730,2000,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"482","Anywhere But Here",18670401,2.3e+07,6.2,17519,1999,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","low",6
"483","Cradle Will Rock",2903404,3.6e+07,6.8,9150,1999,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",7
"484","Double Jeopardy",116741558,7e+07,6.5,82560,1999,"R",0,FALSE,FALSE,FALSE,FALSE,FALSE,"high","high","medium",6
"485","The Messenger: The Story of Joan of Arc",14276317,8.5e+07,6.4,65590,1999,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","high","medium",6
"486","Never Been Kissed",55474756,2.5e+07,6.1,87309,1999,"PG-13",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"487","Office Space",10827810,1e+07,7.7,253576,1999,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","high",8
"488","The Thomas Crown Affair",69305181,4.8e+07,6.9,90332,1999,"R",0,FALSE,FALSE,FALSE,FALSE,FALSE,"medium","medium","medium",7
"489","I'll Be Home for Christmas",12214338,3e+07,5.5,9954,1998,"PG",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"490","Jawbreaker",3117085,3500000,5.7,25613,1999,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","low",6
"491","Psycho",21485655,6e+07,4.6,47338,1998,"R",0,TRUE,FALSE,FALSE,TRUE,FALSE,"medium","medium","medium",5
"492","Screwed",7027345,1e+07,5.7,8983,2000,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","low",6
"493","My Dog Skip",34134641,6e+06,7,19999,2000,"PG",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","low",7
"494","The Next Best Thing",14990582,2.5e+07,4.7,11158,2000,"PG-13",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",5
"495","Random Hearts",31502583,6.4e+07,5.3,20832,1999,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","low",5
"496","Clockstoppers",36989956,2.6e+07,5.2,13963,2002,"PG",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","low",5
"497","Drop Dead Gorgeous",10571408,1.5e+07,6.6,35769,1999,"PG-13",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","low","low",7
"498","The Flintstones in Viva Rock Vegas",35268275,8.3e+07,3.7,22971,2000,"PG",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","high","low",4
"499","Muppets from Space",16625807,2.4e+07,6.3,18921,1999,NA,0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"500","South Park: Bigger, Longer & Uncut",52037603,2.1e+07,7.7,198984,1999,"R",0,TRUE,FALSE,FALSE,FALSE,FALSE,"medium","medium","medium",8
"501","The Virgin Suicides",4906229,9e+06,7.2,149675,1999,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","low","medium",7
"502","Behind Enemy Lines",58856790,4e+07,6.4,102466,2001,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"503","Cold Mountain",95636509,7.9e+07,7.2,144506,2003,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","medium",7
"504","The Adventures of Elmo in Grouchland",11683047,2.6e+07,5.8,3259,1999,NA,0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"505","The Art of War",30208599,6e+07,5.7,29526,2000,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","low",6
"506","Charlie's Angels",125305545,9.3e+07,5.6,182792,2000,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","medium",6
"507","Dudley Do-Right",9974410,7e+07,3.9,10485,1999,"PG",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","high","low",4
"508","Impostor",6285176,3e+07,6.2,23301,2001,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"509","The King and I",11993021,2.5e+07,4.5,4020,1999,NA,0,FALSE,FALSE,FALSE,TRUE,FALSE,"low","medium","low",4
"510","Lost Souls",16815253,5e+07,4.8,10821,2000,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",5
"511","Rules of Engagement",61335230,6e+07,6.4,46380,2000,"R",1,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",6
"512","She's All That",63366989,1e+07,5.9,91993,1999,"PG-13",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","medium",6
"513","The Story of Us",27100031,5e+07,6,23632,1999,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","low",6
"514","What Lies Beneath",155464351,1e+08,6.6,122361,2000,"PG-13",1,TRUE,FALSE,FALSE,FALSE,TRUE,"high","high","medium",7
"515","What's the Worst That Could Happen?",32269834,6e+07,5.5,15684,2001,"PG-13",0,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","medium","low",6
"516","The Wood",25059640,6e+06,7,9074,1999,"R",0,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","low","low",7
"517","Cast Away",233632142,9e+07,7.8,556663,2000,"PG-13",1,TRUE,TRUE,FALSE,TRUE,TRUE,"high","high","high",8
"518","Ghost World",6217849,7e+06,7.3,118072,2001,"R",1,TRUE,FALSE,FALSE,FALSE,TRUE,"low","low","medium",7
"519","Happy, Texas",1955933,2500000,6.3,9854,1999,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","low","low",6
"520","Shaft",70334258,4.6e+07,6,75681,2000,"R",2,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",6
"521","Sleepy Hollow",101071502,1e+08,7.3,346277,1999,"R",1,TRUE,FALSE,FALSE,FALSE,FALSE,"high","high","high",7
"522","Summer of Sam",19288130,2.2e+07,6.7,37767,1999,"R",0,TRUE,FALSE,FALSE,TRUE,FALSE,"medium","medium","medium",7
"523","Hanging Up",36050230,6e+07,4.9,12412,2000,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","low",5
"524","Jurassic Park III",181171875,9.3e+07,5.9,306344,2001,"PG-13",0,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",6
"525","Runaway Bride",152257509,7e+07,5.6,96023,1999,"PG",1,TRUE,FALSE,FALSE,FALSE,TRUE,"high","high","medium",6
"526","Chill Factor",11263966,7e+07,5.2,9579,1999,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","high","low",5
"527","American Pie",102561004,1.1e+07,7,391264,1999,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"high","low","high",7
"528","The In Crowd",5280035,2.4e+07,4.7,4527,2000,"PG-13",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",5
"529","The Beach",39785027,5e+07,6.7,231157,2000,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","high",7
"530","Bless the Child",29381494,6.5e+07,5.1,14457,2000,"R",0,FALSE,FALSE,FALSE,FALSE,FALSE,"medium","medium","low",5
"531","Bringing Out the Dead",16797191,5.5e+07,6.8,66879,1999,"R",1,FALSE,FALSE,FALSE,FALSE,TRUE,"low","medium","medium",7
"532","Hollow Man",73209340,9.5e+07,5.8,127902,2000,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","high","medium",6
"533","Limbo",2160710,1e+07,7,5985,1999,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","low","low",7
"534","The Muse",11614954,1.5e+07,5.7,10819,1999,"PG-13",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","low",6
"535","Drive Me Crazy",17845337,8500000,5.8,19114,1999,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","low",6
"536","Stir of Echoes",21142914,1.2e+07,7,79241,1999,"R",0,FALSE,FALSE,FALSE,FALSE,FALSE,"medium","low","medium",7
"537","The Sum of All Fears",118907036,6.8e+07,6.4,111448,2002,"PG-13",2,FALSE,FALSE,FALSE,FALSE,TRUE,"high","medium","medium",6
"538","Along Came a Spider",74078174,6e+07,6.4,81884,2001,"R",1,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",6
"539","Stuart Little",140035367,1.33e+08,5.9,130334,1999,"PG",0,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","medium",6
"540","Ringmaster",9257103,2e+07,3.2,5148,1998,"R",0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",3
"541","Black & White",5277299,1.2e+07,4.9,5799,1999,"R",1,TRUE,FALSE,FALSE,TRUE,FALSE,"low","low","low",5
"542","Detroit Rock City",4217115,3.4e+07,6.9,38308,1999,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","medium",7
"543","The Limey",3204663,1e+07,7,31809,1999,"R",0,FALSE,FALSE,FALSE,FALSE,FALSE,"low","low","low",7
"544","Romeo Must Die",55973336,2.5e+07,6.1,69059,2000,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"545","Sinbad: Legend of the Seven Seas",26483452,6e+07,6.7,52273,2003,"PG",1,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",7
"546","Bones",7316658,1.6e+07,4.3,7420,2001,"R",0,FALSE,FALSE,FALSE,TRUE,FALSE,"low","low","low",4
"547","The Love Letter",8302478,2e+07,5.5,4362,1999,"PG-13",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",6
"548","Monkeybone",5411999,7.5e+07,4.8,17475,2001,"PG-13",0,FALSE,FALSE,FALSE,TRUE,FALSE,"low","high","low",5
"549","Anna and the King",39263420,9.2e+07,6.7,36758,1999,"PG-13",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","high","medium",7
"550","Spirit: Stallion of the Cimarron",73280117,8e+07,7.2,71788,2002,"G",1,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","high","medium",7
"551","Music of the Heart",14859394,2.7e+07,6.8,12430,1999,"PG",1,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",7
"552","Hellboy",59623958,6.6e+07,6.8,316830,2004,"PG-13",0,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","medium","high",7
"553","I Dreamed of Africa",6651522,5e+07,5.6,4591,2000,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"554","The Lord of the Rings: The Return of the King",377845905,9.4e+07,8.9,1720717,2003,"PG-13",2,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",9
"555","The Lord of the Rings: The Two Towers",342551365,9.4e+07,8.7,1555666,2002,"PG-13",2,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",9
"556","The Sixth Sense",293506292,4e+07,8.1,947201,1999,"PG-13",1,FALSE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",8
"557","Superstar",30636478,3.4e+07,5.2,18679,1999,"PG-13",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","low",5
"558","Thunderbirds",6880917,5.7e+07,4.3,13663,2004,"PG",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",4
"559","The Best Man",34102780,9e+06,6.8,10206,1999,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","low",7
"560","Antwone Fisher",21078145,12500000,7.3,34769,2002,"PG-13",1,TRUE,FALSE,TRUE,FALSE,FALSE,"medium","low","low",7
"561","American Beauty",130096601,1.5e+07,8.3,1109334,1999,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"high","low","high",8
"562","How the Grinch Stole Christmas",260044825,1.23e+08,6.2,223577,2000,"PG",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",6
"563","Gun Shy",1638202,1.4e+07,5.6,7331,2000,"R",2,FALSE,TRUE,FALSE,TRUE,TRUE,"low","low","low",6
"564","The Haunting",91411151,8e+07,5,74499,1999,"PG-13",2,TRUE,FALSE,FALSE,FALSE,FALSE,"high","high","medium",5
"565","Keeping the Faith",37047880,2.9e+07,6.4,51137,2000,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"566","Nurse Betty",25170054,3.5e+07,6.2,34882,2000,"R",1,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","low",6
"567","Boys Don't Cry",11540607,2e+06,7.5,95380,1999,"R",0,FALSE,FALSE,FALSE,FALSE,FALSE,"low","low","medium",8
"568","Bad Boys II",138608444,1.3e+08,6.6,241071,2003,"R",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",7
"569","The End of the Affair",10827816,2.3e+07,7.1,22381,1999,"R",1,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",7
"570","Girl, Interrupted",28912646,4e+07,7.3,174171,1999,"R",0,TRUE,FALSE,FALSE,TRUE,FALSE,"medium","medium","medium",7
"571","Gladiator",187705427,1.03e+08,8.5,1409184,2000,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"high","high","high",8
"572","Light It Up",5985690,1.3e+07,6,3707,1999,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","low","low",6
"573","Final Fantasy: The Spirits Within",32131830,1.37e+08,6.4,81223,2001,"PG-13",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","high","medium",6
"574","Whipped",4159986,3e+06,4.5,4130,2000,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","low",4
"575","Autumn in New York",37761915,6.5e+07,5.6,25958,2000,"PG-13",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","low",6
"576","The Hurricane",50699241,5e+07,7.6,94720,1999,"R",1,TRUE,FALSE,FALSE,TRUE,FALSE,"medium","medium","medium",8
"577","Scary Movie",157019771,1.9e+07,6.2,246714,2000,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",6
"578","Magnolia",22455976,3.7e+07,8,301064,1999,"R",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","high",8
"579","Universal Soldier: The Return",10667893,4.5e+07,4.2,28876,1999,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",4
"580","Gossip",5108820,2.4e+07,5.9,16264,2000,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"581","Galaxy Quest",71583916,4.5e+07,7.3,157734,1999,"PG",1,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",7
"582","The Perfect Storm",182618434,1.4e+08,6.4,162300,2000,"PG-13",2,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","medium",6
"583","Moonlight Mile",6835856,2.1e+07,6.6,13958,2002,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",7
"584","15 Minutes",24403552,6e+07,6.1,49667,2001,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"585","The Adventures of Pluto Nash",4420080,1e+08,3.8,25426,2002,"PG-13",1,FALSE,FALSE,FALSE,TRUE,TRUE,"low","high","low",4
"586","Hardball",40222729,3.2e+07,6.4,30185,2001,"PG-13",1,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","low",6
"587","What Planet Are You From?",6291602,6e+07,5.6,9379,2000,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
"588","Blue Streak",68518533,6.5e+07,6.3,80192,1999,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"589","Minority Report",132072926,1.02e+08,7.6,529069,2002,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",8
"590","Terminator 3: Rise of the Machines",150371112,2e+08,6.3,387796,2003,"R",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",6
"591","Almost Famous",32534850,6e+07,7.9,266221,2000,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","high",8
"592","Boiler Room",16970581,7e+06,7,51606,2000,"R",1,FALSE,FALSE,FALSE,TRUE,FALSE,"low","low","medium",7
"593","Bicentennial Man",58223861,1e+08,6.9,114155,1999,"PG",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","high","medium",7
"594","Me, Myself & Irene",90570999,5.1e+07,6.6,230777,2000,"R",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",7
"595","Mission to Mars",60883407,1e+08,5.7,72214,2000,"PG",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","high","medium",6
"596","Phone Booth",46566212,1.3e+07,7,259750,2002,"R",0,TRUE,FALSE,FALSE,TRUE,FALSE,"medium","low","high",7
"597","A Knight's Tale",56569702,6.5e+07,6.9,179615,2001,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",7
"598","Reindeer Games",23368995,4.2e+07,5.8,38971,2000,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"599","Shanghai Noon",56937502,5.5e+07,6.6,123765,2000,"PG-13",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",7
"600","Snow Day",60020107,1.3e+07,5.1,12110,2000,"PG",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","low","low",5
"601","Wonder Boys",19393557,5.5e+07,7.3,63108,2000,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",7
"602","Battlefield Earth",21471685,7.3e+07,2.5,79009,2000,"PG-13",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","high","medium",2
"603","House on Haunted Hill",40846082,3.7e+07,5.6,55668,1999,"R",1,FALSE,FALSE,FALSE,TRUE,FALSE,"medium","medium","medium",6
"604","Little Nicky",39464775,8.5e+07,5.3,102202,2000,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","high","medium",5
"605","The Blair Witch Project",140539099,60000,6.5,246322,1999,"R",0,TRUE,FALSE,FALSE,FALSE,FALSE,"high","low","high",6
"606","Drowning Mona",15506764,3.7e+07,5.7,14120,2000,"PG-13",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",6
"607","Frequency",45010278,3.1e+07,7.3,105192,2000,"PG-13",0,TRUE,FALSE,FALSE,TRUE,FALSE,"medium","medium","medium",7
"608","Jesus' Son",1302067,2500000,6.9,7118,1999,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","low","low",7
"609","Space Cowboys",90464773,6.5e+07,6.5,78574,2000,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"high","medium","medium",6
"610","Sugar & Spice",13305101,2.7e+07,5.7,14032,2001,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","low",6
