"","title","domestic","budget","averageRating","numVotes","year","mpaa","A_power","HolidaySeason","producer_power","director_power","distributor_power","genre_power","domestic_cut","budget_cut","numVotes_cut","averageRating_round"
"1594","Jumper",80172128,8.5e+07,6.1,297019,2008,"PG-13",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","high","high",6
"1595","Saw III",80238724,1e+07,6.2,186971,2006,"R",0,FALSE,FALSE,FALSE,TRUE,FALSE,"medium","low","medium",6
"1596","Stop-Loss",10915744,2.5e+07,6.4,20175,2008,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",6
"1597","Phat Girlz",7061128,3e+06,3.3,8996,2006,"PG-13",0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","low","low",3
"1598","Reign Over Me",19661987,2e+07,7.4,94682,2007,"R",2,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",7
"1599","Something Borrowed",39046489,3.5e+07,5.9,60394,2011,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"1600","Furry Vengeance",17630465,3.5e+07,3.8,16625,2010,"PG",0,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","medium","low",4
"1601","CHIPS",18600152,2.5e+07,6,45349,2017,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"1602","Jackass Number Two",72778712,11500000,7,69916,2006,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","low","medium",7
"1603","Wanted",134508551,7.5e+07,6.7,375749,2008,"R",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",7
"1604","Ramona and Beezus",26167002,1.5e+07,6.5,18291,2010,NA,0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","low",6
"1605","Inkheart",17303424,6e+07,6.1,75914,2008,"PG",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","medium",6
"1606","Welcome Home, Roscoe Jenkins",42436517,3.5e+07,5.5,14328,2008,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","low",6
"1607","Hostel: Part II",17609452,10200000,5.5,88277,2007,"R",0,TRUE,FALSE,FALSE,TRUE,FALSE,"medium","low","medium",6
"1608","Letters from Iwo Jima",13756082,1.9e+07,7.9,158754,2006,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","medium",8
"1609","Rings",27793018,2.5e+07,4.5,39586,2017,"PG-13",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",4
"1610","We Own the Night",28563179,2.1e+07,6.8,87199,2007,"R",1,FALSE,FALSE,FALSE,TRUE,FALSE,"medium","medium","medium",7
"1611","The Chronicles of Narnia: Prince Caspian",141621490,2.25e+08,6.5,202340,2008,"PG",0,FALSE,FALSE,FALSE,TRUE,TRUE,"high","high","high",6
"1612","Avatar",760507625,2.37e+08,7.8,1162518,2009,"PG-13",3,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",8
"1613","Reno 911!: Miami",20342161,1e+07,5.9,26877,2007,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","low","low",6
"1614","Friday the 13th",65002019,1.9e+07,5.5,103373,2009,"R",0,FALSE,FALSE,FALSE,TRUE,FALSE,"medium","medium","medium",6
"1615","Love & Other Drugs",32367005,3e+07,6.7,192329,2010,"R",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",7
"1616","Body of Lies",39394666,7e+07,7.1,221214,2008,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","high","high",7
"1617","I Now Pronounce You Chuck & Larry",120059556,8.5e+07,5.9,144403,2007,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","medium",6
"1618","The Nativity Story",37629831,3.5e+07,6.8,11225,2006,"PG",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","low",7
"1619","Planet 51",42194060,7e+07,6,53296,2009,"PG",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","high","medium",6
"1620","A Thousand Words",18450127,4e+07,5.9,41827,2012,"PG-13",1,FALSE,TRUE,FALSE,FALSE,TRUE,"medium","medium","medium",6
"1621","Brothers",28544157,2.6e+07,7.1,117809,2009,"R",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",7
"1622","Oceans",19422319,8e+07,7.8,9549,2009,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,"medium","high","low",8
"1623","American Gangster",130164645,1e+08,7.8,408716,2007,"R",2,TRUE,FALSE,FALSE,TRUE,FALSE,"high","high","high",8
"1624","Escape from Planet Earth",57012977,4e+07,5.9,25313,2013,"PG",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","low",6
"1625","Meet Dave",11803254,6e+07,5,40004,2008,"PG",1,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","medium",5
"1626","What's Your Number?",14011084,2e+07,6.1,76379,2011,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"low","medium","medium",6
"1627","Fool's Gold",70231041,7e+07,5.7,76847,2008,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","high","medium",6
"1628","I Think I Love My Wife",12550605,1.1e+07,5.5,16814,2007,"R",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","low",6
"1629","Man of Steel",291045518,2.25e+08,7,733951,2013,"PG-13",0,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",7
"1630","The Illusionist",2231474,1.7e+07,7.5,34655,2010,"PG",0,TRUE,FALSE,FALSE,FALSE,FALSE,"low","low","low",8
"1631","Stomp the Yard",61356221,1.3e+07,5.5,25350,2007,"PG-13",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","low","low",6
"1632","Aliens in the Attic",25200412,4.5e+07,5.4,21622,2009,"PG",0,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","low",5
"1633","Drive",35061555,1.5e+07,7.8,599267,2011,"R",0,FALSE,FALSE,FALSE,FALSE,FALSE,"medium","low","high",8
"1634","Everybody's Fine",9208876,2.1e+07,7.1,60318,2009,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"low","medium","medium",7
"1635","The Princess and the Frog",104400899,1.05e+08,7.1,133493,2009,NA,0,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","medium",7
"1636","Imagine That",16123323,5.5e+07,5.6,14492,2009,"PG",1,TRUE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",6
"1637","Mr. Brooks",28549298,2e+07,7.3,147072,2007,"R",0,FALSE,FALSE,FALSE,FALSE,FALSE,"medium","medium","medium",7
"1638","Redline",6881022,2.6e+07,4,8767,2007,"PG-13",0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","medium","low",4
"1639","The Wolfman",61979680,1.5e+08,5.8,105157,2010,"R",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","high","medium",6
"1640","The Boxtrolls",50837305,6e+07,6.8,56273,2014,"PG",0,FALSE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",7
"1641","The Incredible Burt Wonderstone",22537881,3e+07,5.9,72175,2013,"PG-13",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",6
"1642","Dallas Buyers Club",27298285,5e+06,8,464069,2013,"R",0,TRUE,FALSE,FALSE,FALSE,FALSE,"medium","low","high",8
"1643","Jack Reacher",80070736,6e+07,7,322734,2012,"PG-13",1,TRUE,TRUE,FALSE,FALSE,TRUE,"medium","medium","high",7
"1644","R.I.P.D.",33618855,1.3e+08,5.6,125247,2013,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","high","medium",6
"1645","Case 39",13261851,2.6e+07,6.2,83009,2009,"R",1,FALSE,FALSE,FALSE,FALSE,FALSE,"low","medium","medium",6
"1646","Death at a Funeral",8580428,9e+06,7.4,112920,2007,"R",0,TRUE,FALSE,FALSE,FALSE,TRUE,"low","low","medium",7
"1647","Mamma Mia!",144169664,5.2e+07,6.4,229272,2008,"PG-13",1,TRUE,FALSE,FALSE,TRUE,TRUE,"high","medium","high",6
"1648","Not Easily Broken",10572742,5e+06,6.1,2911,2009,"PG-13",1,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","low",6
"1649","Scary Movie 5",32015787,2e+07,3.5,68943,2013,"PG-13",0,TRUE,FALSE,FALSE,FALSE,TRUE,"medium","medium","medium",4
"1650","Star Trek",257730019,1.5e+08,7.9,591588,2009,"PG-13",1,FALSE,FALSE,FALSE,FALSE,TRUE,"high","high","high",8
"1651","Forgetting Sarah Marshall",63172463,3e+07,7.1,274614,2008,"R",1,TRUE,FALSE,FALSE,TRUE,TRUE,"medium","medium","high",7
"1652","The Hills Have Eyes 2",20804166,1.5e+07,5.1,62800,2007,"R",0,FALSE,FALSE,FALSE,FALSE,FALSE,"medium","low","medium",5
"1653","The Incredible Hulk",134806913,1.5e+08,6.6,459144,2008,"PG-13",0,TRUE,FALSE,FALSE,TRUE,TRUE,"high","high","high",7
"1654","Appaloosa",20211394,2e+07,6.7,60198,2008,"R",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",7
"1655","Clash of the Titans",163214888,1.25e+08,5.8,276742,2010,"PG-13",3,FALSE,FALSE,FALSE,TRUE,TRUE,"high","high","high",6
"1656","Thor",181030624,1.5e+08,7,789132,2011,"PG-13",4,TRUE,FALSE,FALSE,FALSE,TRUE,"high","high","high",7
"1657","Warcraft",47365290,1.6e+08,6.8,254264,2016,"PG-13",0,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","high","high",7
"1658","It's Kind of a Funny Story",6363628,8e+06,7.1,140292,2010,"PG-13",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","medium",7
"1659","Married Life",1507990,1.2e+07,6.2,9299,2007,"PG-13",0,FALSE,FALSE,FALSE,FALSE,FALSE,"low","low","low",6
"1660","Facing the Giants",10178331,1e+05,6.6,16800,2006,"PG",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","low",7
"1661","Lars and the Real Girl",5972884,1.2e+07,7.3,142221,2007,"PG-13",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","medium",7
"1662","Angels & Demons",133375846,1.5e+08,6.7,283794,2009,"PG-13",2,FALSE,FALSE,FALSE,TRUE,TRUE,"high","high","high",7
"1663","Lust, Caution",4604982,1.5e+07,7.5,39907,2007,"NC-17",0,FALSE,FALSE,FALSE,FALSE,TRUE,"low","low","medium",8
"1664","Tooth Fairy",60022256,4.8e+07,5,44674,2010,"PG",1,FALSE,FALSE,FALSE,TRUE,TRUE,"medium","medium","medium",5
"1665","Bright Star",4444637,8500000,6.9,26076,2009,"PG",0,FALSE,FALSE,FALSE,FALSE,FALSE,"low","low","low",7
